trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason
34,long,2021-01-25 04:30:00+00:00,2021-01-25 07:30:00+00:00,0.030042425047804196,0.03159870305819219,208.02347046809535,10.77617243677724,0.2288258175149049,0.0,False,0.02727852194340621,0.0,10.547346619262335,1040.1173523404768,1050.664698959739,long_exit_LH
35,long,2021-01-25 10:00:00+00:00,2021-01-25 11:30:00+00:00,0.030830734474301163,0.031096221231341505,210.13293979194782,1.809477253265543,0.23114623377114263,0.0,False,0.027994306902665456,0.0,1.5783310194944002,1050.664698959739,1052.2430299792336,long_exit_LH
36,short,2021-01-25 11:30:00+00:00,2021-01-25 12:15:00+00:00,0.031096219673313236,0.031039966535061164,210.44860599584672,0.3807020484293765,0.2314934665954314,0.0,False,0.033957071883258055,0.0,0.1492085818339451,1052.2430299792336,1052.3922385610676,short_exit_LB
37,long,2021-01-25 12:15:00+00:00,2021-01-25 13:15:00+00:00,0.031039966682388242,0.031191571055832867,210.47844771221352,1.0280118376258633,0.2315262924834349,0.0,False,0.028184289747608525,0.0,0.7964855451424284,1052.3922385610676,1053.18872410621,long_exit_LH
38,short,2021-01-25 13:15:00+00:00,2021-01-25 15:15:00+00:00,0.031191570265905588,0.03092407820395559,210.637744821242,1.8063830774277876,0.23170151930336622,0.0,False,0.03406119473036891,0.0,1.5746815581244213,1053.18872410621,1054.7634056643344,short_exit_LB
39,short,2021-01-25 16:15:00+00:00,2021-01-25 16:45:00+00:00,0.030447911364529644,0.03050111949522598,210.9526811328669,-0.36864262031239664,0.2320479492461536,0.0,False,0.033249119210066375,0.0,-0.6006905695585503,1054.7634056643344,1054.1627150947759,short_exit_LB
40,short,2021-01-25 18:30:00+00:00,2021-01-25 22:45:00+00:00,0.03041420877024781,0.029799986225521737,210.8325430189552,4.257815880150449,0.23191579732085071,0.0,False,0.033212315977110614,0.0,4.025900082829598,1054.1627150947759,1058.1886151776055,short_exit_LB
41,short,2021-01-25 23:30:00+00:00,2021-01-26 00:15:00+00:00,0.029618006061743963,0.029858370393897483,211.6377230355211,-1.7175416822414311,0.23280149533907324,0.02116377230355211,False,0.03234286261942441,0.0,-1.9291794052769522,1058.1886151776055,1056.2594357723285,short_exit_LB
42,short,2021-01-26 06:00:00+00:00,2021-01-26 07:30:00+00:00,0.029358099654613452,0.02908506354016179,211.2518871544657,1.9646841967910562,0.23237707586991227,0.0,False,0.03205904482283789,0.0,1.732307120921144,1056.2594357723285,1057.9917428932497,short_exit_LB
43,long,2021-01-26 07:30:00+00:00,2021-01-26 09:15:00+00:00,0.029085065355456567,0.029268699170640233,211.59834857864993,1.335964405140007,0.23275818343651494,-0.021159834857864993,False,0.026409239342754565,0.0,1.0820463868456272,1057.9917428932497,1059.0737892800953,long_exit_LH
44,short,2021-01-26 09:15:00+00:00,2021-01-26 10:00:00+00:00,0.029268697879797356,0.029316581711025,211.81475785601907,-0.3465306915379655,0.232996233641621,0.0,False,0.031961418084738714,0.0,-0.5795269251795865,1059.0737892800953,1058.4942623549157,short_exit_LB
45,long,2021-01-26 10:00:00+00:00,2021-01-26 10:45:00+00:00,0.029316580977979626,0.0294618884708293,211.69885247098313,1.0492843457706553,0.23286873771808145,0.0,False,0.0266194555280055,0.0,0.8164156080525738,1058.4942623549157,1059.3106779629682,long_exit_LH
46,short,2021-01-26 20:15:00+00:00,2021-01-26 22:15:00+00:00,0.029361338259462764,0.02914370578111266,211.86213559259363,1.5703671688977632,0.23304834915185302,0.0,False,0.03206258137933334,0.0,1.33731881974591,1059.3106779629682,1060.647996782714,short_exit_LB
47,long,2021-01-26 22:15:00+00:00,2021-01-27 00:00:00+00:00,0.029143707819511432,0.029117778103145902,212.1295993565428,-0.18873577713973075,0.2333425592921971,-0.02121295993565428,False,0.026462486700116382,0.0,-0.44329129636758213,1060.647996782714,1060.2047054863465,long_exit_LH
48,short,2021-01-27 05:00:00+00:00,2021-01-27 06:30:00+00:00,0.02874242489113117,0.028725194820424318,212.0409410972693,0.12711107088883977,0.23324503520699624,0.0,False,0.03138672798111524,0.0,-0.10613396431815647,1060.2047054863465,1060.0985715220284,short_exit_LB
49,short,2021-01-27 11:15:00+00:00,2021-01-27 15:00:00+00:00,0.028703628257408794,0.02805477291284391,212.01971430440568,4.792778235065969,0.23322168573484625,0.0,False,0.0313443620570904,0.0,4.5595565493311225,1060.0985715220284,1064.6581280713594,short_exit_LB
50,short,2021-01-27 16:15:00+00:00,2021-01-27 19:00:00+00:00,0.02855134860290557,0.028219656811030617,212.93162561427187,2.4737070542320008,0.23422478817569906,0.0,False,0.031178072674372885,0.0,2.2394822660563016,1064.6581280713594,1066.8976103374157,short_exit_LB
51,long,2021-01-27 19:00:00+00:00,2021-01-27 21:15:00+00:00,0.028219660315134423,0.028495024160504943,213.37952206748315,2.0821301554900087,0.23471747427423148,0.0,False,0.025623451566142055,0.0,1.8474126812157772,1066.8976103374157,1068.7450230186314,long_exit_LH
52,long,2021-01-28 00:30:00+00:00,2021-01-28 04:15:00+00:00,0.02812825446046167,0.02877607316214513,213.7490046037263,4.922829564243248,0.23512390506409894,0.0,False,0.0255404550500992,0.0,4.687705659179149,1068.7450230186314,1073.4327286778105,long_exit_LH
53,long,2021-01-28 04:45:00+00:00,2021-01-28 06:30:00+00:00,0.02874989976285992,0.028953743468290716,214.6865457355621,1.522179254531136,0.23615520030911832,0.0,False,0.02610490898467681,0.0,1.2860240542220176,1073.4327286778105,1074.7187527320325,long_exit_LH
54,short,2021-01-28 10:15:00+00:00,2021-01-28 12:00:00+00:00,0.028846856669381377,0.029306075735922702,214.94375054640648,-3.4217339385050205,0.23643812560104713,0.0,False,0.031500767482964466,0.0,-3.6581720641060675,1074.7187527320325,1071.0605806679264,STOP_LOSS
55,long,2021-01-28 12:00:00+00:00,2021-01-28 16:15:00+00:00,0.02932467119402033,0.029498121481039957,214.2121161335853,1.2670270974437423,0.23563332774694384,-0.021421211613358533,False,0.026626801444170463,0.0,1.00997255808344,1071.0605806679264,1072.07055322601,long_exit_LH
56,long,2021-01-28 18:45:00+00:00,2021-01-28 22:45:00+00:00,0.02971218571751987,0.029839536180337734,214.414110645202,0.9190079950680515,0.2358555217097222,0.0,False,0.026978664631508043,0.0,0.6831524733583293,1072.07055322601,1072.7537056993683,long_exit_LH
57,long,2021-01-29 07:45:00+00:00,2021-01-29 09:45:00+00:00,0.030121496421758,0.030606527284150326,214.55074113987365,3.4547995074645725,0.23600581525386102,-0.021455074113987366,False,0.027350318750956264,0.0,3.1973386180967243,1072.7537056993683,1075.951044317465,long_exit_LH
58,short,2021-01-29 09:45:00+00:00,2021-01-29 10:30:00+00:00,0.03060652365026794,0.030484896366485208,215.19020886349298,0.855144507745375,0.2367092297498423,0.0,False,0.033422323826092594,0.0,0.6184352779955327,1075.951044317465,1076.5694795954605,short_exit_LB
