trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason
1,short,2021-01-06 16:30:00+00:00,2021-01-06 20:15:00+00:00,0.030530838,0.029648892,200.0,5.777411022913957,0.2,0.0,False,0.03343126761000001,0.0,5.577411022913957,1000.0,1005.5774110229139,short_exit_dip_LB
2,short,2021-01-06 23:45:00+00:00,2021-01-07 00:15:00+00:00,0.030430868,0.03030909,201.11548220458278,0.8048223005636769,0.20111548220458278,0.02011154822045828,False,0.03332180046000001,0.0,0.6238183665795524,1005.5774110229139,1006.2012293894935,short_exit_dip_LB
3,long,2021-01-07 00:15:00+00:00,2021-01-07 05:00:00+00:00,0.03030909,0.032320300999999996,201.24024587789873,13.353637346166897,0.20124024587789874,0.0,False,0.02742972645,0.0,13.152397100288999,1006.2012293894935,1019.3536264897825,long_exit_peak_LH
4,long,2021-01-07 08:30:00+00:00,2021-01-07 14:15:00+00:00,0.031139339000000002,0.032480253,203.87072529795654,8.779027382122138,0.20387072529795655,0.0,False,0.028181101795000003,0.0,8.57515665682418,1019.3536264897825,1027.9287831466067,long_exit_peak_LH
5,long,2021-01-07 15:30:00+00:00,2021-01-07 16:15:00+00:00,0.032319693,0.03218034300000001,205.58575662932134,-0.8864061668622214,0.20558575662932135,-0.020558575662932135,False,0.029249322164999998,0.0,-1.1125504991544748,1027.9287831466067,1026.8162326474524,long_exit_peak_LH
6,short,2021-01-07 16:15:00+00:00,2021-01-07 17:15:00+00:00,0.03218034300000001,0.032682651855,205.36324652949048,-3.2055524462032583,0.20536324652949048,0.0,False,0.03523747558500001,0.0,-3.4109156927327486,1026.8162326474524,1023.4053169547196,STOP_LOSS_1_5
7,short,2021-01-07 21:30:00+00:00,2021-01-08 02:45:00+00:00,0.031880433,0.028978690999999997,204.68106339094393,18.629974010897687,0.20468106339094394,0.020468106339094395,False,0.034909074135,0.0,18.44576105384584,1023.4053169547196,1041.8510780085655,short_exit_dip_LB
8,short,2021-01-08 05:00:00+00:00,2021-01-08 06:15:00+00:00,0.029641105,0.029818942999999997,208.3702156017131,-1.2501606266762542,0.20837021560171312,0.0,False,0.032457009975000006,0.0,-1.4585308422779673,1041.8510780085655,1040.3925471662876,short_exit_dip_LB
9,long,2021-01-08 06:15:00+00:00,2021-01-08 08:15:00+00:00,0.029818942999999997,0.030380883,208.07850943325752,3.921253600133497,0.20807850943325754,-0.020807850943325754,False,0.026986143414999997,0.0,3.6923672397569143,1040.3925471662876,1044.0849144060446,long_exit_peak_LH
10,long,2021-01-08 09:30:00+00:00,2021-01-08 11:15:00+00:00,0.030469138,0.030960709000000003,208.81698288120896,3.3689293439118435,0.20881698288120895,0.0,False,0.02757456989,0.0,3.1601123610306345,1044.0849144060446,1047.2450267670752,long_exit_peak_LH
11,long,2021-01-08 13:00:00+00:00,2021-01-08 14:15:00+00:00,0.030439129,0.030600817,209.44900535341503,1.1125610978416298,0.20944900535341504,0.0,False,0.027547411745,0.0,0.9031120924882148,1047.2450267670752,1048.1481388595635,long_exit_peak_LH
12,short,2021-01-08 14:15:00+00:00,2021-01-08 15:45:00+00:00,0.030600817,0.030039009,209.62962777191268,3.848642404524128,0.20962962777191269,0.0,False,0.033507894615000006,0.0,3.639012776752215,1048.1481388595635,1051.7871516363157,short_exit_dip_LB
13,short,2021-01-08 20:00:00+00:00,2021-01-08 21:15:00+00:00,0.029741075,0.029718913,210.35743032726313,0.15675093690838793,0.21035743032726315,0.0,False,0.03256647712500001,0.0,-0.05360649341887522,1051.7871516363157,1051.733545142897,short_exit_dip_LB
14,long,2021-01-09 01:15:00+00:00,2021-01-09 03:45:00+00:00,0.02990897,0.03119064,210.3467090285794,9.013853254079264,0.2103467090285794,0.0,False,0.02706761785,0.0,8.803506545050684,1051.733545142897,1060.5370516879475,long_exit_peak_LH
15,long,2021-01-09 05:45:00+00:00,2021-01-09 14:45:00+00:00,0.030629186,0.033599917,212.1074103375895,20.572341008983972,0.2121074103375895,-0.021210741033758952,False,0.02771941333,0.0,20.339022857612623,1060.5370516879475,1080.8760745455602,long_exit_peak_LH
16,long,2021-01-09 15:15:00+00:00,2021-01-09 19:15:00+00:00,0.033179951,0.034729578000000004,216.17521490911204,10.09618578863976,0.21617521490911204,-0.12980456954432543,False,0.030027855655,0.0,9.750206004186323,1080.8760745455602,1090.6262805497465,long_exit_peak_LH
17,long,2021-01-09 22:45:00+00:00,2021-01-10 01:00:00+00:00,0.033980191,0.035749272,218.1252561099493,11.356064661444808,0.21812525610994932,-0.3833224188248194,False,0.030752072855,0.0,10.754616986510039,1090.6262805497465,1101.3808975362565,long_exit_peak_LH
18,long,2021-01-10 04:00:00+00:00,2021-01-10 06:30:00+00:00,0.034970487999999994,0.036269116000000004,220.2761795072513,8.179949174319358,0.2202761795072513,0.0,False,0.03164829163999999,0.0,7.959672994812107,1101.3808975362565,1109.3405705310686,long_exit_peak_LH
19,long,2021-01-10 07:30:00+00:00,2021-01-10 08:15:00+00:00,0.035790734,0.035929218,221.8681141062137,0.8584675551466805,0.2218681141062137,-0.41318498890000177,False,0.03239061427,0.0,0.22341445214046496,1109.3405705310686,1109.5639849832091,long_exit_peak_LH
20,short,2021-01-10 08:15:00+00:00,2021-01-10 09:00:00+00:00,0.035929218,0.036240868999999995,221.91279699664182,-1.9248775494306491,0.22191279699664182,0.0,False,0.03934249371,0.0,-2.146790346427291,1109.5639849832091,1107.417194636782,short_exit_dip_LB
21,short,2021-01-10 09:45:00+00:00,2021-01-10 12:15:00+00:00,0.035439365,0.033319993,221.4834389273564,13.245321944294133,0.2214834389273564,0.0,False,0.03880610467500001,0.0,13.023838505366777,1107.417194636782,1120.4410331421486,short_exit_dip_LB
22,short,2021-01-10 13:45:00+00:00,2021-01-10 15:15:00+00:00,0.033799857,0.033360005,224.08820662842973,2.9161557062779604,0.22408820662842974,0.0,False,0.03701084341500001,0.0,2.692067499649531,1120.4410331421486,1123.1331006417981,short_exit_dip_LB
23,long,2021-01-10 15:15:00+00:00,2021-01-10 16:00:00+00:00,0.033360005,0.03362990800000001,224.62662012835963,1.8173677927358416,0.22462662012835963,-0.022462662012835963,False,0.030190804525,0.0,1.5702785105946462,1123.1331006417981,1124.7033791523927,long_exit_peak_LH
24,short,2021-01-10 16:00:00+00:00,2021-01-10 17:45:00+00:00,0.03362990800000001,0.032519753,224.94067583047854,7.425503988193687,0.22494067583047855,0.0,False,0.03682474926000001,0.0,7.200563312363208,1124.7033791523927,1131.9039424647558,short_exit_dip_LB
25,short,2021-01-10 19:30:00+00:00,2021-01-10 20:30:00+00:00,0.032370286,0.032189654,226.38078849295115,1.2632453907592525,0.22638078849295115,0.0,False,0.035445463170000004,0.0,1.0368646022663013,1131.9039424647558,1132.9408070670222,short_exit_dip_LB
26,short,2021-01-11 05:30:00+00:00,2021-01-11 07:30:00+00:00,0.029821051,0.029418822999999997,226.58816141340446,3.056233765503163,0.22658816141340446,0.0,False,0.032654050845000004,0.0,2.8296456040897584,1132.9408070670222,1135.770452671112,short_exit_dip_LB
27,long,2021-01-11 07:30:00+00:00,2021-01-11 10:30:00+00:00,0.029418822999999997,0.029771066000000002,227.1540905342224,2.7198041985584323,0.22715409053422242,-0.02271540905342224,False,0.026624034815,0.0,2.4699346989707878,1135.770452671112,1138.2403873700828,long_exit_peak_LH
28,short,2021-01-11 10:30:00+00:00,2021-01-11 14:15:00+00:00,0.029771066000000002,0.028238469000000002,227.64807747401653,11.719189383156293,0.22764807747401652,0.0,False,0.03259931727000001,0.0,11.491541305682276,1138.2403873700828,1149.731928675765,short_exit_dip_LB
29,short,2021-01-11 17:45:00+00:00,2021-01-11 19:45:00+00:00,0.027931618000000002,0.027748322,229.946385735153,1.5089799924841902,0.229946385735153,0.0,False,0.030585121710000007,0.0,1.2790336067490373,1149.731928675765,1151.010962282514,short_exit_dip_LB
30,long,2021-01-11 19:45:00+00:00,2021-01-12 00:00:00+00:00,0.027748322,0.028431468,230.2021924565028,5.667431240270696,0.23020219245650278,-0.02302021924565028,False,0.02511223141,0.0,5.414208828568544,1151.010962282514,1156.4251711110824,long_exit_peak_LH
31,long,2021-01-12 00:30:00+00:00,2021-01-12 01:30:00+00:00,0.028678601,0.028641404999999998,231.2850342222165,-0.2999755159929283,0.2312850342222165,0.0,False,0.025954133905000003,0.0,-0.5312605502151448,1156.4251711110824,1155.8939105608672,long_exit_peak_LH
32,long,2021-01-12 02:00:00+00:00,2021-01-12 04:15:00+00:00,0.028518553,0.029311204,231.17878211217345,6.425434446831746,0.23117878211217346,0.0,False,0.025809290465,0.0,6.194255664719573,1155.8939105608672,1162.0881662255867,long_exit_peak_LH
33,long,2021-01-12 05:00:00+00:00,2021-01-12 07:45:00+00:00,0.029438829,0.030160949,232.41763324511734,5.7010902614015,0.23241763324511736,0.0,False,0.026642140245,0.0,5.468672628156383,1162.0881662255867,1167.556838853743,long_exit_peak_LH
34,short,2021-01-12 12:15:00+00:00,2021-01-12 14:45:00+00:00,0.029231227999999998,0.028348502,233.51136777074862,7.051587282847,0.23351136777074863,0.0,False,0.03200819466,0.0,6.818075915076251,1167.556838853743,1174.3749147688193,short_exit_dip_LB
35,long,2021-01-12 19:45:00+00:00,2021-01-12 21:30:00+00:00,0.028968688,0.028517042319999998,234.87498295376386,-3.6618942283869185,0.23487498295376386,0.0,False,0.02621666264,0.0,-3.896769211340682,1174.3749147688193,1170.4781455574787,STOP_LOSS_1_5
36,short,2021-01-12 21:30:00+00:00,2021-01-12 21:45:00+00:00,0.028721381,0.029169698284999993,234.09562911149575,-3.6540414569073465,0.23409562911149576,0.0,False,0.031449912195000006,0.0,-3.8881370860188422,1170.4781455574787,1166.59000847146,STOP_LOSS_1_5
37,short,2021-01-13 03:30:00+00:00,2021-01-13 05:45:00+00:00,0.028651402000000003,0.028498547,233.31800169429198,1.2447496687590327,0.23331800169429198,0.0,False,0.03137328519000001,0.0,1.0114316670647407,1166.59000847146,1167.6014401385246,short_exit_dip_LB
38,long,2021-01-13 05:45:00+00:00,2021-01-13 07:45:00+00:00,0.028498547,0.029171246,233.5202880277049,5.512170997207317,0.23352028802770491,0.0,False,0.025791185035,0.0,5.278650709179612,1167.6014401385246,1172.8800908477042,long_exit_peak_LH
39,long,2021-01-13 10:00:00+00:00,2021-01-13 10:30:00+00:00,0.029318793,0.029201237,234.57601816954084,-0.9405509425963762,0.23457601816954085,0.0,False,0.026533507665,0.0,-1.175126960765917,1172.8800908477042,1171.7049638869382,long_exit_peak_LH
40,long,2021-01-13 15:00:00+00:00,2021-01-13 18:45:00+00:00,0.029058715,0.029691090000000003,234.34099277738764,5.099722589508915,0.23434099277738765,-0.023434099277738766,False,0.026298137075,0.0,4.841947497453789,1171.7049638869382,1176.546911384392,long_exit_peak_LH
41,long,2021-01-13 19:30:00+00:00,2021-01-13 21:30:00+00:00,0.029678900999999997,0.029911024,235.30938227687838,1.840388892508413,0.2353093822768784,0.0,False,0.026859405404999998,0.0,1.6050795102315347,1176.546911384392,1178.1519908946234,long_exit_peak_LH
42,long,2021-01-14 02:15:00+00:00,2021-01-14 03:45:00+00:00,0.029648892,0.030160949,235.6303981789247,4.069500971581184,0.2356303981789247,0.0,False,0.02683224726,0.0,3.8338705734022596,1178.1519908946234,1181.9858614680256,long_exit_peak_LH
43,short,2021-01-14 03:45:00+00:00,2021-01-14 05:45:00+00:00,0.030160949,0.029718913,236.39717229360514,3.4646144739005393,0.23639717229360513,0.0,False,0.033026239155000005,0.0,3.228217301606934,1181.9858614680256,1185.2140787696326,short_exit_dip_LB
44,short,2021-01-14 08:45:00+00:00,2021-01-14 09:30:00+00:00,0.030120961,0.030139039,237.04281575392653,-0.14226836996332728,0.23704281575392655,0.0,False,0.032982452295000006,0.0,-0.37931118571725386,1185.2140787696326,1184.8347675839154,short_exit_dip_LB
45,long,2021-01-14 09:30:00+00:00,2021-01-14 11:15:00+00:00,0.030139039,0.029971006,236.96695351678306,-1.321152545716044,0.23696695351678307,0.0,False,0.027275830295,0.0,-1.558119499232827,1184.8347675839154,1183.2766480846826,long_exit_peak_LH
46,short,2021-01-14 11:15:00+00:00,2021-01-14 12:30:00+00:00,0.029971006,0.029968988,236.65532961693654,0.015934415253451028,0.23665532961693656,0.0,False,0.032818251570000005,0.0,-0.22072091436348554,1183.2766480846826,1183.0559271703191,short_exit_dip_LB
