trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason,stop_streak
11,long,2021-01-21 16:15:00+00:00,2021-01-21 16:30:00+00:00,0.02878292692761989,0.028153433198476657,202.69935180779436,-4.433113115468554,0.20269935180779436,0.0,False,0.02612050618681505,0.0,-4.635812467276349,1013.4967590389717,1008.8609465716954,long_exit_LH,0
12,short,2021-01-21 16:30:00+00:00,2021-01-21 17:15:00+00:00,0.028153485608779942,0.028463969538468758,201.7721893143391,-2.2251959530259584,0.2017721893143391,0.0,False,0.030757683027592086,0.0,-2.4269681423402973,1008.8609465716954,1006.4339784293551,short_exit_LB,0
13,short,2021-01-22 07:15:00+00:00,2021-01-22 08:15:00+00:00,0.027533178607703178,0.027619237660927526,201.28679568587103,-0.6291518792691216,0.20128679568587104,-0.06166420985836659,False,0.030079997628915722,0.0,-0.8921028848133593,1006.4339784293551,1005.5418755445418,short_exit_LB,0
14,long,2021-01-22 08:15:00+00:00,2021-01-22 10:00:00+00:00,0.027619231084561827,0.027697547883817893,201.10837510890835,0.5702607793061183,0.20110837510890836,0.0,False,0.02506445220923986,0.0,0.36915240419720996,1005.5418755445418,1005.9110279487389,long_exit_LH,0
15,short,2021-01-22 10:00:00+00:00,2021-01-22 10:30:00+00:00,0.02769754525108446,0.027841623322744296,201.1822055897478,-1.0465167209180306,0.2011822055897478,0.0,False,0.030259568186809773,0.0,-1.2476989265077785,1005.9110279487389,1004.6633290222312,short_exit_LB,0
16,long,2021-01-22 10:30:00+00:00,2021-01-22 15:30:00+00:00,0.02784161582179144,0.02849459111426619,200.93266580444623,4.7125162225209944,0.20093266580444624,0.0,False,0.02526626635827573,0.0,4.511583556716548,1004.6633290222312,1009.1749125789478,long_exit_LH,0
17,long,2021-01-22 16:15:00+00:00,2021-01-22 16:45:00+00:00,0.02888309945531441,0.02840401984354123,201.83498251578956,-3.3478063950688517,0.20183498251578957,0.0,False,0.026211412755697827,0.0,-3.549641377584641,1009.1749125789478,1005.6252712013631,long_exit_LH,0
18,long,2021-01-22 18:00:00+00:00,2021-01-22 19:45:00+00:00,0.028589649543447032,0.028675339812566005,201.12505424027262,0.6028216609730103,0.20112505424027263,0.0,False,0.025945106960678182,0.0,0.40169660673273766,1005.6252712013631,1006.0269678080958,long_exit_LH,0
19,long,2021-01-22 21:00:00+00:00,2021-01-22 22:30:00+00:00,0.02874565410342718,0.028644627698183472,201.20539356161916,-0.7071349830495686,0.20120539356161918,0.0,False,0.026086681098860164,0.0,-0.9083403766111877,1006.0269678080958,1005.1186274314847,long_exit_LH,0
20,short,2021-01-22 22:30:00+00:00,2021-01-23 00:30:00+00:00,0.028644632800548527,0.028522594110775866,201.02372548629694,0.8564491729528081,0.20102372548629693,-0.10291208602545486,False,0.03129426133459927,0.0,0.5525133614410562,1005.1186274314847,1005.6711407929257,short_exit_LB,0
